State,Year,production,consumption,price,population
Iowa,2014,726972.0,1540439,17.64,3111
Idaho,2014,156038.0,525029,20.64,1632
Illinois,2014,368795.0,4085398,18.88,12885
Indiana,2014,226990.0,2910530,18.05,6596
Kansas,2014,179689.0,1133375,21.21,2902
Kentucky,2014,81707.0,1779652,20.43,4417
Louisiana,2014,149562.0,3940900,15.12,4646
Massachusetts,2014,62219.0,1452646,26.51,6765
Maryland,2014,53166.0,1426361,25.12,5960
Maine,2014,157454.0,415034,22.72,1331
Michigan,2014,202669.0,2909764,19.84,9932
Minnesota,2014,340468.0,1939400,19.6,5453
Missouri,2014,113128.0,1911681,21.72,6059
Mississippi,2014,64569.0,1102445,20.97,2992
Montana,2014,134146.0,405273,21.86,1023
North Carolina,2014,173986.0,2603078,23.11,9937
North Dakota,2014,138436.0,640539,18.38,739
Nebraska,2014,307740.0,878327,19.26,1880
New Hampshire,2014,55538.0,314337,27.78,1334
New Jersey,2014,54088.0,2232255,23.14,8867
New Mexico,2014,41710.0,681854,23.69,2090
Nevada,2014,67517.0,708332,23.17,2819
New York,2014,397929.0,3840907,24.49,19653
Ohio,2014,167123.0,3793308,19.76,11607
Oklahoma,2014,163029.0,1683025,19.92,3879
Oregon,2014,485364.0,993638,22.11,3965
Pennsylvania,2014,197394.0,3983725,21.29,12792
Rhode Island,2014,4421.0,203822,26.58,1057
South Carolina,2014,137000.0,1644829,21.91,4827
South Dakota,2014,221737.0,393913,20.37,850
Tennessee,2014,178932.0,2205042,21.4,6545
Texas,2014,545639.0,12627593,18.84,26963
Utah,2014,22235.0,795029,21.01,2938
Virginia,2014,135886.0,2484858,21.78,8315
Vermont,2014,32831.0,140379,27.7,626
Washington,2014,940937.0,2008907,21.17,7058
Wisconsin,2014,216594.0,1889496,20.66,5753
West Virginia,2014,50019.0,781076,20.08,1851
Wyoming,2014,54146.0,536312,18.79,583
Alaska,2015,23807.0,614242,19.06,738
Alabama,2015,258955.0,1917138,15.69,4855
Arkansas,2015,117840.0,1062359,15.86,2980
Arizona,2015,128954.0,1495858,21.89,6833
California,2015,737527.0,7525491,22.14,38904
Colorado,2015,126586.0,1501006,17.21,5454
Connecticut,2015,33234.0,756746,23.3,3589
District of Columbia,2015,824.0,178222,23.11,677
Delaware,2015,3517.0,284672,19.74,942
Florida,2015,223761.0,4324701,20.22,20219
Georgia,2015,269514.0,2978591,17.1,10183
Hawaii,2015,24957.0,298992,27.11,1423
Iowa,2015,766862.0,1507520,13.93,3123
Idaho,2015,153503.0,540252,16.87,1652
Illinois,2015,355359.0,3920125,15.54,12860
Indiana,2015,242141.0,2826490,14.99,6611
Kansas,2015,177374.0,1101677,17.01,2911
Kentucky,2015,75319.0,1730308,16.37,4429
Louisiana,2015,132249.0,3911919,10.55,4667
Massachusetts,2015,62787.0,1468270,22.34,6797
Maryland,2015,47614.0,1424201,21.02,5989
Maine,2015,161418.0,424754,17.95,1329
Michigan,2015,223234.0,2826679,16.43,9934
Minnesota,2015,345949.0,1813635,16.13,5484
Missouri,2015,105635.0,1831407,18.28,6075
Mississippi,2015,60419.0,1085042,16.96,2990
Montana,2015,125018.0,403641,17.66,1031
North Carolina,2015,170008.0,2595919,19,10037
North Dakota,2015,141748.0,608353,13.73,756
Nebraska,2015,317158.0,857967,15.54,1892
New Hampshire,2015,61342.0,316649,22.56,1337
New Jersey,2015,45205.0,2183497,18.96,8870
New Mexico,2015,38811.0,681082,18.65,2090
Nevada,2015,75369.0,697627,19.43,2869
New York,2015,409139.0,3838544,19.83,19657
Ohio,2015,164904.0,3708157,16.56,11622
Oklahoma,2015,187199.0,1625556,16.05,3911
Oregon,2015,438941.0,971766,18.94,4019
Pennsylvania,2015,200534.0,3897610,17.74,12790
Rhode Island,2015,4886.0,202693,22.6,1057
South Carolina,2015,128618.0,1663373,18.05,4896
South Dakota,2015,225499.0,389999,16.29,855
Tennessee,2015,182019.0,2179722,17.44,6595
Texas,2015,583008.0,12757827,13.69,27469
Utah,2015,23993.0,798313,17.22,2984
Virginia,2015,137589.0,2440821,17.67,8367
Vermont,2015,38784.0,140546,21.34,626
Washington,2015,872328.0,1995985,17.44,7167
Wisconsin,2015,223881.0,1814408,16.97,5763
West Virginia,2015,37954.0,768657,16.88,1843
Wyoming,2015,49887.0,507121,14.88,586
Alaska,2016,25155.0,593662,17,743
Alabama,2016,230734.0,1922727,14.85,4867
Arkansas,2016,115419.0,1053706,14.61,2992
Arizona,2016,138522.0,1524720,20.11,6945
California,2016,929692.0,7647955,20.16,39149
Colorado,2016,149600.0,1470307,15.75,5544
Connecticut,2016,34249.0,724686,21.89,3580
District of Columbia,2016,1107.0,174553,22.36,688
Delaware,2016,3105.0,280937,18.16,950
Florida,2016,223405.0,4362567,18.42,20627
Georgia,2016,282334.0,2951822,16.16,10308
Hawaii,2016,27593.0,300390,23.95,1429
Iowa,2016,801820.0,1534622,12.93,3133
Idaho,2016,151509.0,540164,15.48,1684
Illinois,2016,375139.0,3925630,14.56,12822
Indiana,2016,257458.0,2777075,13.78,6638
Kansas,2016,205800.0,1092806,16.02,2913
Kentucky,2016,76971.0,1704124,15.26,4440
Louisiana,2016,154742.0,4030644,9.33,4681
Massachusetts,2016,65616.0,1426034,20.61,6827
Maryland,2016,48237.0,1386648,19.85,6007
Maine,2016,141943.0,392025,16.8,1332
Michigan,2016,216674.0,2806190,15.57,9954
Minnesota,2016,351303.0,1838918,14.84,5525
Missouri,2016,105876.0,1781656,17.22,6091
Mississippi,2016,78133.0,1071689,15.43,2991
Montana,2016,128095.0,406422,15.97,1042
North Carolina,2016,199520.0,2619589,17.63,10162
North Dakota,2016,162635.0,583657,12.39,756
Nebraska,2016,330919.0,870370,14.31,1906
New Hampshire,2016,56290.0,307290,20.97,1344
New Jersey,2016,46546.0,2140838,17.63,8874
New Mexico,2016,54822.0,673638,16.83,2093
Nevada,2016,88587.0,727193,16.64,2920
New York,2016,412994.0,3768794,18.1,19636
Ohio,2016,166682.0,3667777,15.6,11640
Oklahoma,2016,243569.0,1624919,14.06,3928
Oregon,2016,468111.0,988158,17.36,4093
Pennsylvania,2016,196773.0,3762485,16.63,12788
Rhode Island,2016,4700.0,185173,21.25,1058
South Carolina,2016,131043.0,1658202,17.07,4963
South Dakota,2016,237289.0,388097,15.01,864
Tennessee,2016,154183.0,2207227,16.17,6651
Texas,2016,709194.0,12986076,12.53,27914
Utah,2016,36562.0,807711,15.76,3044
Virginia,2016,139807.0,2420341,16.26,8418
Vermont,2016,35637.0,135276,19.91,624
Washington,2016,930780.0,2056396,15.89,7300
Wisconsin,2016,224249.0,1801012,15.76,5775
West Virginia,2016,39653.0,762366,16.45,1832
Wyoming,2016,54565.0,504984,13.28,585
Alaska,2017,23620.0,601492,18.97,741
Alabama,2017,258549.0,1904206,15.97,4878
Arkansas,2017,116692.0,1057701,15.76,3004
Arizona,2017,149493.0,1531479,21.8,7048
California,2017,1122218.0,7766193,21.97,39338
Colorado,2017,153379.0,1477307,17.2,5617
Connecticut,2017,32888.0,728349,23.18,3575
District of Columbia,2017,1316.0,166877,23.03,697
Delaware,2017,3269.0,280044,19.75,958
Florida,2017,236674.0,4345055,20.05,20977
Georgia,2017,275016.0,2925877,17.58,10417
Hawaii,2017,26964.0,308376,26.1,1426
Iowa,2017,837092.0,1572298,13.7,3144
Idaho,2017,173010.0,557104,16.62,1720
Illinois,2017,378606.0,3890442,15.86,12780
Indiana,2017,260439.0,2674436,15.15,6662
Kansas,2017,248533.0,1075697,17.3,2911
Kentucky,2017,89649.0,1662333,16.72,4456
Louisiana,2017,142086.0,4208312,10.51,4674
Massachusetts,2017,68467.0,1431083,22.04,6864
Maryland,2017,55339.0,1346703,21.22,6028
Maine,2017,148038.0,384730,18.24,1336
Michigan,2017,225919.0,2798055,16.5,9977
Minnesota,2017,363504.0,1862210,16.24,5569
Missouri,2017,116838.0,1742207,18.68,6111
Mississippi,2017,71032.0,1068298,16.73,2991
Montana,2017,136249.0,422863,17.17,1054
North Carolina,2017,215578.0,2575147,18.68,10276
North Dakota,2017,212086.0,633995,13.51,757
Nebraska,2017,355970.0,873303,15.53,1917
New Hampshire,2017,59871.0,317785,22.26,1350
New Jersey,2017,45602.0,2089145,19.16,8888
New Mexico,2017,67408.0,684366,18.8,2093
Nevada,2017,98128.0,757955,17.99,2972
New York,2017,447680.0,3776092,19.53,19594
Ohio,2017,167037.0,3616508,16.7,11666
Oklahoma,2017,274848.0,1647508,15.37,3934
Oregon,2017,501442.0,1041344,18.35,4147
Pennsylvania,2017,204952.0,3766880,17.94,12795
Rhode Island,2017,5967.0,182325,22.29,1057
South Carolina,2017,132533.0,1647778,18.25,5027
South Dakota,2017,241029.0,394141,16.3,874
Tennessee,2017,166421.0,2145679,17.51,6715
Texas,2017,810455.0,13173303,14.07,28291
Utah,2017,53282.0,827453,16.92,3104
Virginia,2017,140979.0,2401427,17.48,8471
Vermont,2017,37792.0,134076,21.5,625
Washington,2017,950220.0,2075340,17.78,7428
Wisconsin,2017,224172.0,1817947,16.74,5793
West Virginia,2017,41643.0,753016,17.61,1819
Wyoming,2017,55916.0,534840,14.51,580
Alaska,2018,24158.0,604644,22.2,737
Alabama,2018,279560.0,1956413,16.72,4892
Arkansas,2018,126121.0,1116757,16.46,3012
Arizona,2018,156071.0,1542208,23.98,7164
California,2018,1026274.0,7865156,24.46,39437
Colorado,2018,156998.0,1527222,18.49,5697
Connecticut,2018,37572.0,756159,24.87,3575
District of Columbia,2018,1603.0,174538,23.57,704
Delaware,2018,3389.0,300567,20.74,967
Florida,2018,247001.0,4441047,21.41,21255
Georgia,2018,288295.0,3003699,18.37,10519
Hawaii,2018,26299.0,306342,30.36,1423
Iowa,2018,865784.0,1633531,14.64,3150
Idaho,2018,178935.0,556467,18.15,1752
Illinois,2018,359817.0,4017644,16.8,12725
Indiana,2018,271248.0,2806168,15.86,6698
Kansas,2018,253321.0,1136232,18.32,2913
Kentucky,2018,90231.0,1744818,17.92,4464
Louisiana,2018,143245.0,4245610,11.61,4664
Massachusetts,2018,75295.0,1469311,24.78,6886
Maryland,2018,65963.0,1391698,22.08,6042
Maine,2018,149435.0,388172,20.16,1340
Michigan,2018,237163.0,2911393,17.47,9987
Minnesota,2018,366439.0,1940174,17.39,5609
Missouri,2018,131345.0,1860863,19.56,6126
Mississippi,2018,76639.0,1105822,17.96,2983
Montana,2018,143018.0,436316,18.56,1062
North Carolina,2018,248825.0,2685032,20.11,10391
North Dakota,2018,209189.0,663153,14.95,760
Nebraska,2018,359674.0,909065,16.6,1926
New Hampshire,2018,56145.0,325655,24.5,1355
New Jersey,2018,48517.0,2194123,20.09,8892
New Mexico,2018,85241.0,703100,19.91,2094
Nevada,2018,105656.0,776588,20,3031
New York,2018,442993.0,3946032,20.99,19544
Ohio,2018,172901.0,3762435,17.44,11681
Oklahoma,2018,308589.0,1715294,16.2,3943
Oregon,2018,486994.0,1021526,20.28,4184
Pennsylvania,2018,220486.0,3933425,18.96,12809
Rhode Island,2018,6663.0,195556,24.84,1059
South Carolina,2018,147096.0,1675118,19.18,5092
South Dakota,2018,254033.0,406677,17.43,879
Tennessee,2018,186147.0,2233190,18.71,6778
Texas,2018,901492.0,14009870,15.29,28625
Utah,2018,50358.0,844319,18.47,3155
Virginia,2018,159914.0,2501044,19.05,8511
Vermont,2018,41553.0,138642,23.11,625
Washington,2018,937724.0,2054390,19.71,7527
Wisconsin,2018,232096.0,1896601,17.52,5809
West Virginia,2018,45418.0,831311,18.79,1806
Wyoming,2018,51483.0,557604,15.41,579
Alaska,2019,22754.0,605689,21.37,734
Alabama,2019,278142.0,1926332,16.41,4908
Arkansas,2019,133513.0,1096477,16.08,3021
Arizona,2019,148194.0,1556416,23.3,7292
California,2019,1140051.0,7790111,24.69,39438
Colorado,2019,167095.0,1566652,17.77,5758
Connecticut,2019,37172.0,735517,24.33,3566
District of Columbia,2019,2002.0,167397,24.06,708
Delaware,2019,3611.0,298616,19.87,977
Florida,2019,248107.0,4371666,20.79,21492
Georgia,2019,301842.0,2955875,17.97,10628
Hawaii,2019,25273.0,307764,29.49,1416
Iowa,2019,901961.0,1645247,13.91,3160
Idaho,2019,169244.0,565998,17.12,1789
Illinois,2019,372731.0,3951620,16,12667
Indiana,2019,257250.0,2779091,15.38,6731
Kansas,2019,273764.0,1129559,17.31,2913
Kentucky,2019,89293.0,1723238,17.33,4472
Louisiana,2019,133669.0,4282045,10.65,4658
Massachusetts,2019,74190.0,1464995,23.52,6895
Maryland,2019,55557.0,1355227,21.45,6055
Maine,2019,148456.0,384261,19.27,1346
Michigan,2019,233688.0,2880159,16.89,9985
Minnesota,2019,366164.0,1900531,16.6,5640
Missouri,2019,140354.0,1805708,18.76,6140
Mississippi,2019,66401.0,1093230,17.35,2978
Montana,2019,129217.0,445912,17.99,1070
North Carolina,2019,254022.0,2656262,19.58,10501
North Dakota,2019,211395.0,683875,14.67,764
Nebraska,2019,371935.0,907219,16.03,1933
New Hampshire,2019,56018.0,319667,23.52,1361
New Jersey,2019,49363.0,2098952,19.88,8891
New Mexico,2019,94063.0,738484,18.49,2100
Nevada,2019,113331.0,779141,19.73,3091
New York,2019,452190.0,3841948,20.17,19463
Ohio,2019,174087.0,3637669,16.96,11697
Oklahoma,2019,332320.0,1684997,15.55,3961
Oregon,2019,426391.0,1027578,19.89,4216
Pennsylvania,2019,201783.0,3818814,18.32,12799
Rhode Island,2019,8797.0,190581,24.31,1058
South Carolina,2019,149844.0,1640751,18.87,5158
South Dakota,2019,264674.0,405954,16.64,887
Tennessee,2019,181028.0,2171765,18.31,6830
Texas,2019,963581.0,14234096,14.08,28987
Utah,2019,48225.0,855124,17.47,3203
Virginia,2019,142651.0,2460902,18.51,8557
Vermont,2019,40997.0,136905,22.16,624
Washington,2019,779076.0,2078663,19.11,7614
Wisconsin,2019,232452.0,1847846,16.91,5825
West Virginia,2019,41973.0,829454,17.83,1795
Wyoming,2019,53228.0,546671,14.93,580
Alaska,2020,24682.0,640132,17.2,732
Alabama,2020,288515.0,1838656,14.89,5025
Arkansas,2020,111538.0,1034661,14.81,3012
Arizona,2020,152046.0,1508154,21.24,7178
California,2020,1013850.0,6922764,23.68,39500
Colorado,2020,186132.0,1451112,16.46,5784
Connecticut,2020,37394.0,667011,23.12,3600
District of Columbia,2020,2147.0,143773,22.56,690
Delaware,2020,3571.0,277144,18.42,992
Florida,2020,258173.0,4003133,19.26,21570
Georgia,2020,313196.0,2727565,16.54,10726
Hawaii,2020,27957.0,232516,30.08,1452
Iowa,2020,900015.0,1526087,12.54,3189
Idaho,2020,151616.0,550098,15.46,1848
Illinois,2020,381252.0,3612925,14.45,12785
Indiana,2020,246985.0,2564421,14.18,6786
Kansas,2020,299301.0,1069542,15.47,2936
Kentucky,2020,90327.0,1595472,15.42,4504
Louisiana,2020,131183.0,4200360,8.45,4651
Massachusetts,2020,73946.0,1278411,22.42,7022
Maryland,2020,47229.0,1212643,19.98,6173
Maine,2020,132947.0,365101,17.25,1362
Michigan,2020,225022.0,2610581,16,10068
Minnesota,2020,351983.0,1731499,15.26,5707
Missouri,2020,140007.0,1702136,16.89,6154
Mississippi,2020,64336.0,1037261,15.25,2957
Montana,2020,137944.0,429327,16.19,1086
North Carolina,2020,281143.0,2470897,17.79,10457
North Dakota,2020,224409.0,625886,12.54,779
Nebraska,2020,342292.0,863654,14.25,1961
New Hampshire,2020,45710.0,295548,21.49,1378
New Jersey,2020,51878.0,1893854,18.7,9280
New Mexico,2020,96447.0,699738,16.94,2118
Nevada,2020,115274.0,710083,17.94,3114
New York,2020,426161.0,3354222,19.42,20155
Ohio,2020,161090.0,3404480,15.3,11791
Oklahoma,2020,323741.0,1579183,13.46,3962
Oregon,2020,453528.0,982979,18.09,4242
Pennsylvania,2020,189149.0,3412995,17.09,12990
Rhode Island,2020,11420.0,175780,23.05,1096
South Carolina,2020,160701.0,1533340,17.18,5131
South Dakota,2020,261997.0,396626,14.92,887
Tennessee,2020,202041.0,2039089,16.15,6920
Texas,2020,1059236.0,13480760,11.93,29218
Utah,2020,50836.0,829039,15.89,3282
Virginia,2020,147212.0,2273099,16.71,8632
Vermont,2020,37481.0,125702,20.52,642
Washington,2020,871240.0,1779399,17.6,7719
Wisconsin,2020,200946.0,1708131,15.5,5892
West Virginia,2020,41440.0,803921,16.47,1790
Wyoming,2020,64877.0,504390,13.57,577
